compound_id,compound_name,smiles,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings
Tz-Ph,"3-phenyl-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ccccc2,185.23,2.16,38.67,0,3,1,2
Tz-2OH,"3-(2-hydroxyphenyl)-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ccccc2O,201.23,1.86,58.9,1,4,1,2
Tz-4Cl,"3-(4-chlorophenyl)-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ccc(Cl)cc2,219.68,2.81,38.67,0,3,1,2
Tz-tBu,"3-(4-tert-butylphenyl)-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ccc(C(C)(C)C)cc2,241.34,3.45,38.67,0,3,1,2
Tz-4NO2,"3-(4-nitrophenyl)-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ccc([N+](=O)[O-])cc2,230.23,2.06,81.81,0,5,2,2
Tz-4OH,"3-(4-hydroxyphenyl)-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ccc(O)cc2,201.23,1.86,58.9,1,4,1,2
Tz-2Cl,"3-(2-chlorophenyl)-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ccccc2Cl,219.68,2.81,38.67,0,3,1,2
Tz-4Py,"3-(4-pyridyl)-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ccncc2,186.22,1.55,51.56,0,4,1,2
Tz-2Py,"3-(2-pyridyl)-5,6-dimethyl-1,2,4-triazine",Cc1nnc(nc1(C))c2ncccc2,186.22,1.55,51.56,0,4,1,2
Bis-Tz,"2,6-bis-(5,6-dimethyl-1,2,4-triazinyl)pyridine", CC1=NC(C2=NC(C3=NC(C)=C(C)N=N3)=CC=C2)=NN=C1C,293.33,2.02,90.23,0,7,2,3
Tris-Tz,"1,3,5-tris-(5,6-dimethyl-1,2,4-triazinyl)benzene",CC1=C(C)N=NC(C2=CC(C3=NN=C(C)C(C)=N3)=CC(C4=NC(C)=C(C)N=N4)=C2)=N1,399.46,3.09,116.01,0,9,3,4
Thio-Tz,"3-(5-chlorothiophenyl)-5,6-dimethyl-1,2,4-triazine",CC1=NC(C2=CC=C(Cl)S2)=NN=C1C,225.7,2.87,38.67,0,4,1,2
